Timestamp,Date,date,entry_word_count,formatted_date,quarter,sentiment,maxSentiment,positve-sentiment,negative-sentiment,neutral-sentiment
2021-07-17 9:13:04,2018-10-14 0:00:00,2018-10-14 0:00:00,27,2018-10-14,2018Q4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",negative,0.0,0.0,1.0
2021-07-17 9:13:04,2018-10-13 0:00:00,2018-10-13 0:00:00,16,2018-10-13,2018Q4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",negative,0.0,0.0,1.0
2021-07-17 9:13:04,2018-10-12 0:00:00,2018-10-12 0:00:00,14,2018-10-12,2018Q4,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.8442}",positive,0.412,0.0,0.588
2021-07-17 9:13:04,2018-10-11 0:00:00,2018-10-11 0:00:00,21,2018-10-11,2018Q4,"{'neg': 0.123, 'neu': 0.877, 'pos': 0.0, 'compound': -0.4215}",negative,0.0,0.123,0.877
2021-07-17 9:13:04,2018-08-25 0:00:00,2018-08-25 0:00:00,34,2018-08-25,2018Q3,"{'neg': 0.128, 'neu': 0.814, 'pos': 0.058, 'compound': -0.34}",negative,0.058,0.128,0.814
2021-07-17 9:13:04,2018-07-27 0:00:00,2018-07-27 0:00:00,117,2018-07-27,2018Q3,"{'neg': 0.032, 'neu': 0.809, 'pos': 0.159, 'compound': 0.9398}",positive,0.159,0.032,0.809
2021-07-17 9:13:04,2018-06-16 0:00:00,2018-06-16 0:00:00,66,2018-06-16,2018Q2,"{'neg': 0.032, 'neu': 0.771, 'pos': 0.197, 'compound': 0.875}",positive,0.197,0.032,0.771
2021-07-17 9:13:04,2018-06-08 0:00:00,2018-06-08 0:00:00,124,2018-06-08,2018Q2,"{'neg': 0.237, 'neu': 0.597, 'pos': 0.166, 'compound': -0.9393}",negative,0.166,0.237,0.597
2021-07-17 9:13:04,2018-05-18 0:00:00,2018-05-18 0:00:00,163,2018-05-18,2018Q2,"{'neg': 0.119, 'neu': 0.801, 'pos': 0.081, 'compound': -0.8235}",negative,0.081,0.119,0.801
2021-07-17 9:13:04,2018-02-24 0:00:00,2018-02-24 0:00:00,84,2018-02-24,2018Q1,"{'neg': 0.1, 'neu': 0.703, 'pos': 0.197, 'compound': 0.8634}",positive,0.197,0.1,0.703
2021-07-17 9:13:04,2018-02-11 0:00:00,2018-02-11 0:00:00,179,2018-02-11,2018Q1,"{'neg': 0.061, 'neu': 0.737, 'pos': 0.202, 'compound': 0.9831}",positive,0.202,0.061,0.737
2021-07-17 9:13:04,2018-02-02 0:00:00,2018-02-02 0:00:00,2,2018-02-02,2018Q1,"{'neg': 0.821, 'neu': 0.179, 'pos': 0.0, 'compound': -0.6808}",negative,0.0,0.821,0.179
2021-07-17 9:13:04,2018-01-12 0:00:00,2018-01-12 0:00:00,43,2018-01-12,2018Q1,"{'neg': 0.054, 'neu': 0.853, 'pos': 0.093, 'compound': 0.0}",positive,0.093,0.054,0.853
2021-07-17 9:13:04,2017-12-31 0:00:00,2017-12-31 0:00:00,91,2017-12-31,2017Q4,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.9217}",positive,0.146,0.0,0.854
2021-07-17 9:13:04,2017-12-26 0:00:00,2017-12-26 0:00:00,78,2017-12-26,2017Q4,"{'neg': 0.082, 'neu': 0.756, 'pos': 0.162, 'compound': 0.7717}",positive,0.162,0.082,0.756
2021-07-17 9:13:04,2017-10-05 0:00:00,2017-10-05 0:00:00,105,2017-10-05,2017Q4,"{'neg': 0.071, 'neu': 0.664, 'pos': 0.266, 'compound': 0.9822}",positive,0.266,0.071,0.664
2021-07-17 9:13:04,2017-09-13 0:00:00,2017-09-13 0:00:00,142,2017-09-13,2017Q3,"{'neg': 0.308, 'neu': 0.61, 'pos': 0.082, 'compound': -0.9932}",negative,0.082,0.308,0.61
2021-07-17 9:13:04,2017-08-29 0:00:00,2017-08-29 0:00:00,147,2017-08-29,2017Q3,"{'neg': 0.041, 'neu': 0.763, 'pos': 0.197, 'compound': 0.9789}",positive,0.197,0.041,0.763
2021-07-17 9:13:04,2017-07-11 0:00:00,2017-07-11 0:00:00,35,2017-07-11,2017Q3,"{'neg': 0.085, 'neu': 0.915, 'pos': 0.0, 'compound': -0.4215}",negative,0.0,0.085,0.915
2021-07-17 9:13:04,2017-07-09 0:00:00,2017-07-09 0:00:00,89,2017-07-09,2017Q3,"{'neg': 0.046, 'neu': 0.922, 'pos': 0.032, 'compound': -0.0516}",negative,0.032,0.046,0.922
2021-07-17 9:13:04,2017-06-28 0:00:00,2017-06-28 0:00:00,154,2017-06-28,2017Q2,"{'neg': 0.044, 'neu': 0.689, 'pos': 0.266, 'compound': 0.9896}",positive,0.266,0.044,0.689
2021-07-17 9:13:04,2017-06-26 0:00:00,2017-06-26 0:00:00,179,2017-06-26,2017Q2,"{'neg': 0.183, 'neu': 0.647, 'pos': 0.17, 'compound': -0.701}",negative,0.17,0.183,0.647
2021-07-17 9:13:04,2017-06-25 0:00:00,2017-06-25 0:00:00,266,2017-06-25,2017Q2,"{'neg': 0.123, 'neu': 0.646, 'pos': 0.231, 'compound': 0.9855}",positive,0.231,0.123,0.646
2021-07-17 9:13:04,2017-06-17 0:00:00,2017-06-17 0:00:00,253,2017-06-17,2017Q2,"{'neg': 0.144, 'neu': 0.808, 'pos': 0.047, 'compound': -0.9756}",negative,0.047,0.144,0.808
